,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,339000000.0,182000000.0,62000000.0,221600000.0
Repurchase Of Capital Stock,-98000000.0,0.0,,
Repayment Of Debt,0.0,-20000000.0,-209000000.0,-230000000.0
Issuance Of Debt,,,0.0,230000000.0
Issuance Of Capital Stock,1000000.0,7000000.0,-1000000.0,70700000.0
Capital Expenditure,-10000000.0,-6000000.0,-3000000.0,-3200000.0
End Cash Position,295000000.0,154000000.0,75000000.0,296300000.0
Other Cash Adjustment Outside Changein Cash,,-1000000.0,,100000.0
Beginning Cash Position,154000000.0,75000000.0,296000000.0,116700000.0
Effect Of Exchange Rate Changes,0.0,0.0,0.0,400000.0
Changes In Cash,141000000.0,80000000.0,-221000000.0,179200000.0
Financing Cash Flow,-198000000.0,-102000000.0,-283000000.0,-42400000.0
Net Other Financing Charges,1000000.0,1000000.0,1000000.0,
Cash Dividends Paid,-97000000.0,-87000000.0,-72000000.0,-110000000.0
Net Common Stock Issuance,-97000000.0,7000000.0,-1000000.0,70700000.0
Common Stock Payments,-98000000.0,0.0,,
Common Stock Issuance,1000000.0,7000000.0,-1000000.0,70700000.0
Net Issuance Payments Of Debt,0.0,-20000000.0,-209000000.0,0.0
Net Long Term Debt Issuance,0.0,-20000000.0,-209000000.0,0.0
Long Term Debt Payments,0.0,-20000000.0,-209000000.0,-230000000.0
Long Term Debt Issuance,,,0.0,230000000.0
Investing Cash Flow,-10000000.0,-6000000.0,-3000000.0,-3200000.0
Net Intangibles Purchase And Sale,-1000000.0,-3000000.0,-3000000.0,-100000.0
Purchase Of Intangibles,-1000000.0,-3000000.0,-3000000.0,-100000.0
Net PPE Purchase And Sale,-9000000.0,-3000000.0,0.0,-3100000.0
Purchase Of PPE,-9000000.0,-3000000.0,0.0,-3100000.0
Operating Cash Flow,349000000.0,188000000.0,65000000.0,224800000.0
Taxes Refund Paid,-74000000.0,-100000000.0,-63000000.0,-27500000.0
Interest Received Cfo,8000000.0,1000000.0,0.0,0.0
Interest Paid Cfo,-4000000.0,-5000000.0,-3000000.0,-11800000.0
Change In Working Capital,25000000.0,-25000000.0,-240000000.0,29800000.0
Change In Other Current Liabilities,66000000.0,-73000000.0,100000000.0,158800000.0
Change In Inventory,-46000000.0,40000000.0,-296000000.0,-118000000.0
Change In Receivables,5000000.0,8000000.0,-44000000.0,-11000000.0
Depreciation And Amortization,9000000.0,7000000.0,5000000.0,3900000.0
Depreciation,9000000.0,7000000.0,5000000.0,3900000.0
Net Income From Continuing Operations,386000000.0,310000000.0,367000000.0,230400000.0
